Date,Open,High,Low,Close
7-October-1997,969.70,981.75,967.87,981.60,
8-October-1997,982.38,988.46,982.38,986.05,
9-October-1997,985.73,997.86,983.86,997.41,
10-October-1997,1001.69,1019.57,1001.69,1012.77,
13-October-1997,1021.07,1027.08,1014.02,1016.09,
14-October-1997,1014.87,1015.18,1002.39,1002.69,
15-October-1997,1003.59,1010.02,1000.82,1008.55,
16-October-1997,1019.19,1021.56,1011.90,1018.43,
17-October-1997,1023.91,1032.44,1023.07,1025.72,
20-October-1997,1029.88,1038.93,1026.74,1038.48,
21-October-1997,1039.01,1040.50,1025.30,1028.11,
22-October-1997,1028.74,1028.76,1019.81,1020.19,
23-October-1997,1018.11,1019.43,995.78,1001.29,
24-October-1997,997.58,997.58,979.30,987.99,
27-October-1997,998.32,1000.73,982.84,982.84,
30-October-1997,961.91,963.99,953.61,953.61,
3-November-1997,963.88,965.02,949.34,950.74,
4-November-1997,959.93,971.68,948.20,953.56,
5-November-1997,953.88,954.12,944.18,947.92,
6-November-1997,940.81,945.08,933.05,944.44,
7-November-1997,944.08,944.73,936.59,939.14,
10-November-1997,943.95,943.95,930.02,932.32,
11-November-1997,933.53,938.58,932.66,932.87,
12-November-1997,932.49,936.39,911.41,912.47,
13-November-1997,905.21,907.82,947.05,892.69,
14-November-1997,896.15,901.35,883.18,895.54,
17-November-1997,891.91,898.59,888.81,897.87,
18-November-1997,896.95,896.95,877.91,883.46,
19-November-1997,875.14,875.14,854.72,868.82,
20-November-1997,855.76,879.86,854.82,871.78,
21-November-1997,868.31,888.45,868.31,884.63,
24-November-1997,906.92,908.25,856.76,857.25,
25-November-1997,856.89,877.12,854.07,874.99,
26-November-1997,882.70,897.76,882.49,888.75,
27-November-1997,887.77,915.77,886.27,911.92,
28-November-1997,909.52,909.52,886.74,895.00,
1-December-1997,889.80,898.29,878.62,897.13,
2-December-1997,896.14,904.48,889.69,893.20,
3-December-1997,894.46,902.09,889.84,895.44,
4-December-1997,888.37,901.96,881.41,886.65,
5-December-1997,886.26,891.67,872.54,872.54,
8-December-1997,874.69,877.76,869.00,871.72,
9-December-1997,871.96,875.75,849.42,855.04,
10-December-1997,849.40,852.34,839.89,845.14,
11-December-1997,842.76,844.10,822.16,840.39,
12-December-1997,842.61,852.85,838.66,841.50,
15-December-1997,839.68,850.84,833.37,850.23,
