Date,Open,High,Low,Close
22-February-2007,,,,7173.41,
23-February-2007,,,,6904.43,
26-February-2007,,,,6894.45,
27-February-2007,,,,6918.29,
28-February-2007,,,,6705.91,
1-March-2007,,,,6712.86,
2-March-2007,,,,6645.81,
5-March-2007,,,,6270.75,
6-March-2007,,,,6259.52,
7-March-2007,,,,6088.31,
8-March-2007,,,,6245.81,
9-March-2007,,,,6251.05,
12-March-2007,,,,6317.65,
13-March-2007,,,,6434.87,
14-March-2007,,,,6324.22,
15-March-2007,,,,6368.18,
16-March-2007,,,,6274.64,
19-March-2007,,,,6335.07,
20-March-2007,,,,6355.22,
21-March-2007,,,,6369.64,
22-March-2007,,,,6457.56,
23-March-2007,,,,6456.61,
26-March-2007,,,,6425.74,
28-March-2007,,,,6312.45,
29-March-2007,,,,6377.79,
30-March-2007,,,,6470.51,
2-April-2007,,,,6294.06,
3-April-2007,,,,6313.64,
4-April-2007,,,,6386.48,
5-April-2007,,,,6456.37,
9-April-2007,,,,6585.37,
10-April-2007,,,,6656.74,
11-April-2007,,,,6711.51,
12-April-2007,,,,6682.53,
13-April-2007,,,,6756.46,
16-April-2007,,,,6884.13,
17-April-2007,,,,6862.53,
18-April-2007,,,,6908.50,
19-April-2007,,,,6905.29,
20-April-2007,,,,6974.37,
23-April-2007,,,,6970.92,
24-April-2007,,,,7003.63,
25-April-2007,,,,7075.01,
26-April-2007,,,,7017.32,
27-April-2007,,,,6941.48,
30-April-2007,,,,6993.84,
3-May-2007,,,,7054.20,
4-May-2007,,,,7031.57,
7-May-2007,,,,7020.11,
8-May-2007,,,,6939.25,
9-May-2007,,,,6918.60,
10-May-2007,,,,6951.49,
11-May-2007,,,,6984.40,
14-May-2007,,,,7079.83,
15-May-2007,,,,7102.88,
16-May-2007,,,,7205.96,
17-May-2007,,,,7212.56,
18-May-2007,,,,7220.30,
21-May-2007,,,,7294.15,
22-May-2007,,,,7286.77,
23-May-2007,,,,7237.55,
24-May-2007,,,,7201.75,
25-May-2007,,,,7265.92,
28-May-2007,,,,7334.64,
29-May-2007,,,,7388.33,
30-May-2007,,,,7349.56,
