Date,Open,High,Low,Close
3-October-1988,,,,676.58,
4-October-1988,,,,678.79,
5-October-1988,,,,686.97,
6-October-1988,,,,686.91,
7-October-1988,,,,693.90,
10-October-1988,,,,704.80,
11-October-1988,,,,679.88,
12-October-1988,,,,664.45,
13-October-1988,,,,656.12,
14-October-1988,,,,652.18,
18-October-1988,,,,678.67,
21-October-1988,,,,705.06,
25-October-1988,,,,702.95,
26-October-1988,,,,697.17,
27-October-1988,,,,679.34,
28-October-1988,,,,675.38,
31-October-1988,,,,654.18,
1-November-1988,,,,676.37,
2-November-1988,,,,683.78,
3-November-1988,,,,670.75,
4-November-1988,,,,699.75,
9-November-1988,,,,709.03,
15-November-1988,,,,705.86,
16-November-1988,,,,708.20,
17-November-1988,,,,711.50,
18-November-1988,,,,719.07,
21-November-1988,,,,718.16,
24-November-1988,,,,704.74,
28-November-1988,,,,695.00,
29-November-1988,,,,702.02,
30-November-1988,,,,707.44,
2-December-1988,,,,709.65,
5-December-1988,,,,698.87,
6-December-1988,,,,687.04,
7-December-1988,,,,674.74,
9-December-1988,,,,675.04,
13-December-1988,,,,668.06,
14-December-1988,,,,695.70,
15-December-1988,,,,689.04,
16-December-1988,,,,668.12,
19-December-1988,,,,657.42,
20-December-1988,,,,665.58,
21-December-1988,,,,666.52,
22-December-1988,,,,661.77,
23-December-1988,,,,666.26,
2-January-1989,,,,659.11,
4-January-1989,,,,640.81,
5-January-1989,,,,628.17,
6-January-1989,,,,625.32,
9-January-1989,,,,658.45,
10-January-1989,,,,660.41,
11-January-1989,,,,656.24,
12-January-1989,,,,652.24,
13-January-1989,,,,642.35,
16-January-1989,,,,644.39,
17-January-1989,,,,646.32,
18-January-1989,,,,641.02,
19-January-1989,,,,634.12,
20-January-1989,,,,631.75,
23-January-1989,,,,628.19,
25-January-1989,,,,659.89,
27-January-1989,,,,666.62,
30-January-1989,,,,674.47,
31-January-1989,,,,678.72,
1-February-1989,,,,662.59,
2-February-1989,,,,650.64,
3-February-1989,,,,665.48,
6-February-1989,,,,684.59,
7-February-1989,,,,678.72,
8-February-1989,,,,669.20,
9-February-1989,,,,670.40,
10-February-1989,,,,669.80,
13-February-1989,,,,656.21,
14-February-1989,,,,660.23,
15-February-1989,,,,653.73,
16-February-1989,,,,643.61,
17-February-1989,,,,648.75,
20-February-1989,,,,661.76,
21-February-1989,,,,661.17,
22-February-1989,,,,660.66,
23-February-1989,,,,661.87,
24-February-1989,,,,671.57,
25-February-1989,,,,666.62,
28-February-1989,,,,654.96,
1-March-1989,,,,636.00,
2-March-1989,,,,655.46,
3-March-1989,,,,656.42,
7-March-1989,,,,671.70,
8-March-1989,,,,680.66,
9-March-1989,,,,678.04,
10-March-1989,,,,684.77,
13-March-1989,,,,675.23,
14-March-1989,,,,666.28,
15-March-1989,,,,672.39,
16-March-1989,,,,673.07,
17-March-1989,,,,670.70,
20-March-1989,,,,663.80,
21-March-1989,,,,656.53,
23-March-1989,,,,679.29,
27-March-1989,,,,690.46,
28-March-1989,,,,692.29,
29-March-1989,,,,704.01,
30-March-1989,,,,711.14,
31-March-1989,,,,713.60,
3-April-1989,,,,723.88,
4-April-1989,,,,718.69,
5-April-1989,,,,716.78,
7-April-1989,,,,728.25,
10-April-1989,,,,752.15,
11-April-1989,,,,753.93,
12-April-1989,,,,734.77,
13-April-1989,,,,748.44,
17-April-1989,,,,745.57,
19-April-1989,,,,750.91,
20-April-1989,,,,761.09,
21-April-1989,,,,768.86,
25-April-1989,,,,761.85,
26-April-1989,,,,781.24,
27-April-1989,,,,770.90,
28-April-1989,,,,780.36,
2-May-1989,,,,751.87,
3-May-1989,,,,749.75,
4-May-1989,,,,753.53,
5-May-1989,,,,745.94,
10-May-1989,,,,732.34,
11-May-1989,,,,713.54,
12-May-1989,,,,726.79,
15-May-1989,,,,734.94,
16-May-1989,,,,734.83,
17-May-1989,,,,715.12,
18-May-1989,,,,718.08,
19-May-1989,,,,708.35,
22-May-1989,,,,705.77,
23-May-1989,,,,716.16,
24-May-1989,,,,715.24,
26-May-1989,,,,709.83,
29-May-1989,,,,695.28,
30-May-1989,,,,692.24,
31-May-1989,,,,691.15,
1-June-1989,,,,699.02,
2-June-1989,,,,708.19,
5-June-1989,,,,725.14,
6-June-1989,,,,723.13,
7-June-1989,,,,725.38,
8-June-1989,,,,724.37,
9-June-1989,,,,723.09,
12-June-1989,,,,724.94,
13-June-1989,,,,724.04,
14-June-1989,,,,714.97,
15-June-1989,,,,712.03,
16-June-1989,,,,730.02,
19-June-1989,,,,732.08,
20-June-1989,,,,736.27,
21-June-1989,,,,756.16,
22-June-1989,,,,765.08,
23-June-1989,,,,773.45,
26-June-1989,,,,762.24,
27-June-1989,,,,765.12,
28-June-1989,,,,776.35,
29-June-1989,,,,778.86,
30-June-1989,,,,792.17,
4-July-1989,,,,794.21,
5-July-1989,,,,798.01,
6-July-1989,,,,790.49,
7-July-1989,,,,783.70,
10-July-1989,,,,765.20,
11-July-1989,,,,756.16,
12-July-1989,,,,762.86,
13-July-1989,,,,758.92,
17-July-1989,,,,747.19,
18-July-1989,,,,751.82,
19-July-1989,,,,752.86,
20-July-1989,,,,754.10,
21-July-1989,,,,740.25,
25-July-1989,,,,734.17,
26-July-1989,,,,743.13,
27-July-1989,,,,722.64,
28-July-1989,,,,716.35,
1-August-1989,,,,729.23,
2-August-1989,,,,716.55,
3-August-1989,,,,716.80,
4-August-1989,,,,719.61,
7-August-1989,,,,715.50,
8-August-1989,,,,706.78,
9-August-1989,,,,715.35,
10-August-1989,,,,732.31,
14-August-1989,,,,736.46,
17-August-1989,,,,727.27,
18-August-1989,,,,720.24,
21-August-1989,,,,708.50,
22-August-1989,,,,709.38,
23-August-1989,,,,710.48,
28-August-1989,,,,714.34,
29-August-1989,,,,719.48,
30-August-1989,,,,731.27,
31-August-1989,,,,733.30,
1-September-1989,,,,729.25,
6-September-1989,,,,730.62,
7-September-1989,,,,733.71,
8-September-1989,,,,721.56,
11-September-1989,,,,713.73,
12-September-1989,,,,714.21,
13-September-1989,,,,715.76,
14-September-1989,,,,729.46,
