"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"09-Jun-2006","     3470.20","     3733.95","     3461.10","     3726.85","       51539275","          886.69"
"12-Jun-2006","     3746.70","     3749.80","     3643.00","     3664.90","       35649336","          635.10"
"13-Jun-2006","     3595.50","     3595.50","     3422.90","     3436.15","       42243939","          596.44"
"14-Jun-2006","     3452.00","     3557.95","     3303.20","     3335.40","       44924396","          770.70"
"15-Jun-2006","     3393.50","     3554.80","     3393.50","     3545.25","       42439364","          830.88"
"16-Jun-2006","     3617.80","     3787.90","     3617.80","     3697.95","       66385433","         1286.21"
"19-Jun-2006","     3722.75","     3785.35","     3662.95","     3768.20","       40342706","          891.08"
"20-Jun-2006","     3748.70","     3781.10","     3693.65","     3760.55","       43511357","          878.60"
"21-Jun-2006","     3762.50","     3869.20","     3756.00","     3863.40","       38980602","          850.67"
"22-Jun-2006","     3894.85","     3995.55","     3894.85","     3958.60","       46498778","         1128.84"
"23-Jun-2006","     3946.90","     3977.20","     3879.00","     3973.60","       36510289","          832.36"
"25-Jun-2006","     4015.10","     4020.00","     3996.70","     4005.55","        7108208","          120.66"
"26-Jun-2006","     4018.70","     4027.05","     3831.05","     3848.40","       37011630","          708.14"
"27-Jun-2006","     3855.45","     3866.40","     3757.45","     3823.95","       42224201","          937.08"
"28-Jun-2006","     3789.25","     3810.80","     3754.75","     3794.70","       42937661","          746.77"
"29-Jun-2006","     3838.90","     3864.40","     3795.85","     3805.10","       46765711","          904.53"
"30-Jun-2006","     3848.65","     3949.75","     3848.65","     3944.65","       50905595","         1033.91"
"03-Jul-2006","     3966.80","     3968.65","     3938.45","     3950.40","       37330915","          714.18"
"04-Jul-2006","     3978.35","     3988.40","     3929.05","     3940.30","       31644895","          620.98"
"05-Jul-2006","     3929.65","     3988.90","     3923.05","     3982.55","       37779661","          688.92"
"06-Jul-2006","     3948.05","     3987.90","     3945.55","     3962.00","       32986242","          658.25"
"07-Jul-2006","     3980.80","     4019.10","     3871.90","     3884.15","       37874937","          805.16"
"10-Jul-2006","     3896.15","     3907.55","     3857.80","     3895.05","       25010274","          575.46"
"11-Jul-2006","     3908.50","     3918.10","     3885.45","     3897.20","       30840105","          660.00"
"12-Jul-2006","     3841.45","     3925.25","     3823.15","     3920.70","       31320124","          632.92"
