Date,Open,High,Low,Close
15-January-2016,,,,2944.88,
18-January-2016,,,,2900.85,
19-January-2016,,,,2918.14,
20-January-2016,,,,2880.96,
21-January-2016,,,,2862.52,
22-January-2016,,,,2911.20,
25-January-2016,,,,2927.11,
27-January-2016,,,,2928.41,
28-January-2016,,,,2929.82,
29-January-2016,,,,2992.49,
1-February-2016,,,,3002.35,
2-February-2016,,,,2967.85,
3-February-2016,,,,2937.54,
4-February-2016,,,,2950.41,
5-February-2016,,,,2986.26,
8-February-2016,,,,2960.32,
9-February-2016,,,,2917.85,
10-February-2016,,,,2896.84,
11-February-2016,,,,2817.72,
12-February-2016,,,,2811.03,
15-February-2016,,,,2870.18,
16-February-2016,,,,2829.80,
17-February-2016,,,,2846.26,
18-February-2016,,,,2886.09,
19-February-2016,,,,2892.20,
22-February-2016,,,,2912.78,
23-February-2016,,,,2876.06,
24-February-2016,,,,2841.27,
25-February-2016,,,,2827.93,
26-February-2016,,,,2829.32,
29-February-2016,,,,2795.79,
1-March-2016,,,,2870.24,
2-March-2016,,,,2912.13,
3-March-2016,,,,2948.43,
4-March-2016,,,,2949.94,
8-March-2016,,,,2946.90,
9-March-2016,,,,2959.62,
10-March-2016,,,,2950.76,
11-March-2016,,,,2959.63,
14-March-2016,,,,2962.80,
15-March-2016,,,,2925.01,
16-March-2016,,,,2925.47,
17-March-2016,,,,2936.60,
18-March-2016,,,,2965.90,
21-March-2016,,,,2997.52,
22-March-2016,,,,3001.49,
23-March-2016,,,,3006.13,
28-March-2016,,,,2974.80,
29-March-2016,,,,2960.26,
30-March-2016,,,,3003.03,
31-March-2016,,,,3017.52,
1-April-2016,,,,3004.71,
4-April-2016,,,,3025.11,
5-April-2016,,,,2985.86,
6-April-2016,,,,2996.27,
7-April-2016,,,,2982.03,
8-April-2016,,,,2981.91,
11-April-2016,,,,3014.24,
12-April-2016,,,,3037.90,
13-April-2016,,,,3070.85,
18-April-2016,,,,3105.97,
20-April-2016,,,,3104.02,
21-April-2016,,,,3083.29,
22-April-2016,,,,3077.92,
25-April-2016,,,,3063.85,
26-April-2016,,,,3086.38,
27-April-2016,,,,3097.01,
