Date,Open,High,Low,Close
12-March-2013,,,,1772.31,
13-March-2013,,,,1751.06,
14-March-2013,,,,1759.45,
15-March-2013,,,,1750.71,
18-March-2013,,,,1745.51,
19-March-2013,,,,1717.73,
20-March-2013,,,,1684.87,
21-March-2013,,,,1668.97,
22-March-2013,,,,1662.50,
25-March-2013,,,,1656.04,
26-March-2013,,,,1655.37,
28-March-2013,,,,1680.70,
1-April-2013,,,,1704.18,
2-April-2013,,,,1727.92,
3-April-2013,,,,1712.71,
4-April-2013,,,,1682.09,
5-April-2013,,,,1679.89,
8-April-2013,,,,1679.27,
9-April-2013,,,,1662.54,
10-April-2013,,,,1670.85,
11-April-2013,,,,1675.47,
12-April-2013,,,,1676.25,
15-April-2013,,,,1678.62,
16-April-2013,,,,1695.49,
17-April-2013,,,,1702.73,
18-April-2013,,,,1719.96,
22-April-2013,,,,1744.38,
23-April-2013,,,,1738.68,
25-April-2013,,,,1749.97,
26-April-2013,,,,1739.00,
29-April-2013,,,,1752.72,
30-April-2013,,,,1760.31,
2-May-2013,,,,1776.59,
3-May-2013,,,,1770.55,
6-May-2013,,,,1787.02,
7-May-2013,,,,1803.18,
8-May-2013,,,,1807.48,
9-May-2013,,,,1799.90,
10-May-2013,,,,1809.81,
13-May-2013,,,,1791.78,
14-May-2013,,,,1797.11,
15-May-2013,,,,1828.87,
16-May-2013,,,,1838.67,
17-May-2013,,,,1842.40,
20-May-2013,,,,1828.02,
21-May-2013,,,,1813.69,
22-May-2013,,,,1802.61,
23-May-2013,,,,1766.24,
24-May-2013,,,,1777.06,
27-May-2013,,,,1797.44,
28-May-2013,,,,1803.69,
29-May-2013,,,,1796.54,
30-May-2013,,,,1794.44,
31-May-2013,,,,1775.20,
3-June-2013,,,,1778.79,
4-June-2013,,,,1786.13,
5-June-2013,,,,1786.97,
6-June-2013,,,,1785.23,
7-June-2013,,,,1773.96,
10-June-2013,,,,1754.49,
11-June-2013,,,,1723.40,
12-June-2013,,,,1711.78,
