"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"27-Aug-2013","     4163.30","     4163.30","     4054.70","     4060.70","      623450162","        11750.83"
"28-Aug-2013","     4022.80","     4067.30","     3937.70","     4047.70","      731423032","        15013.17"
"29-Aug-2013","     4068.50","     4141.70","     4062.90","     4132.80","      830816825","        15480.54"
"30-Aug-2013","     4134.70","     4187.35","     4103.35","     4175.85","      724189635","        16328.67"
"02-Sep-2013","     4182.65","     4241.75","     4182.65","     4235.25","      522952550","         9369.34"
"03-Sep-2013","     4253.85","     4256.20","     4082.50","     4092.90","      591754990","        11136.25"
"04-Sep-2013","     4104.10","     4171.00","     4084.70","     4164.50","      544347216","        10868.90"
"05-Sep-2013","     4234.15","     4282.35","     4234.15","     4264.05","      685155442","        14001.52"
"06-Sep-2013","     4281.60","     4323.05","     4248.70","     4319.40","      630434323","        12993.90"
"10-Sep-2013","     4361.05","     4467.20","     4361.05","     4463.55","      644262600","        14662.69"
"11-Sep-2013","     4458.90","     4496.20","     4434.00","     4489.45","      785155221","        13442.12"
"12-Sep-2013","     4503.70","     4504.85","     4423.05","     4445.95","      774429178","        12610.14"
"13-Sep-2013","     4433.10","     4471.00","     4430.60","     4450.45","      617934505","        10690.93"
"16-Sep-2013","     4507.15","     4517.30","     4412.60","     4440.90","      607696184","        11886.26"
"17-Sep-2013","     4429.95","     4448.30","     4414.60","     4444.50","      400306038","         8553.78"
"18-Sep-2013","     4457.55","     4487.55","     4440.90","     4478.35","      418759586","         8475.53"
"19-Sep-2013","     4576.00","     4643.00","     4576.00","     4627.85","      791378981","        17350.40"
"20-Sep-2013","     4622.35","     4636.85","     4503.05","     4560.10","      867544889","        17882.18"
"23-Sep-2013","     4516.30","     4549.15","     4471.55","     4482.00","      508956905","        10640.12"
"24-Sep-2013","     4459.80","     4515.35","     4459.80","     4484.10","      497898648","        10892.09"
"25-Sep-2013","     4490.05","     4497.45","     4432.65","     4477.05","      557068837","        10830.76"
"26-Sep-2013","     4476.75","     4503.25","     4472.05","     4482.30","      605452681","        11953.41"
"27-Sep-2013","     4497.65","     4502.80","     4448.80","     4455.95","      460650998","         9172.43"
"30-Sep-2013","     4433.85","     4434.00","     4381.60","     4392.05","      420953347","         8971.42"
"01-Oct-2013","     4405.00","     4425.75","     4367.15","     4422.90","      448828137","         8639.69"
"03-Oct-2013","     4448.00","     4517.15","     4443.25","     4512.65","      551207897","        11715.97"
"04-Oct-2013","     4499.35","     4543.40","     4499.10","     4516.15","      536091228","        10111.20"
"07-Oct-2013","     4505.90","     4524.95","     4471.20","     4522.80","      430670903","         8782.35"
"08-Oct-2013","     4569.15","     4573.85","     4528.25","     4536.45","      518950128","         9920.09"
"09-Oct-2013","     4512.30","     4596.75","     4505.75","     4592.45","      585281390","        11170.71"
"10-Oct-2013","     4589.80","     4617.00","     4582.85","     4607.50","      499752037","        10013.24"
